word	chosen_tier	also_fits	alternative_split
𐤄𐤉𐤈𐤁	exact	plene	𐤄𐤉𐤈𐤉𐤁
𐤄𐤉𐤋𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤄𐤉𐤄	exact	proclitic	𐤅 + 𐤄𐤉𐤄
𐤅𐤀𐤁𐤀𐤄	exact	plene	𐤅𐤀𐤁𐤅𐤀𐤄
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤔𐤌𐤏𐤌	exact	proclitic	𐤊 + 𐤔𐤌𐤏𐤌
𐤀𐤕𐤃𐤁𐤓𐤉	adjacent	particle	𐤀𐤕 + 𐤃𐤁𐤓𐤉
𐤄𐤌𐤋𐤊	exact	proclitic	𐤄 + 𐤌𐤋𐤊
𐤅𐤉𐤋𐤊𐤅	exact	proclitic	𐤅 + 𐤉𐤋𐤊𐤅
𐤅𐤄𐤍𐤄	exact	plene	𐤄𐤍𐤄
𐤋𐤐𐤍𐤉𐤄𐤌	exact	proclitic	𐤋 + 𐤐𐤍𐤉𐤄𐤌
𐤁𐤀𐤅	exact	proclitic	𐤁 + 𐤀𐤅
𐤄𐤉𐤋𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤉𐤏𐤌𐤃	exact	plene	𐤏𐤌𐤃𐤉
𐤌𐤌𐤏𐤋	exact	proclitic	𐤌 + 𐤌𐤏𐤋
𐤅𐤉𐤓𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤓𐤀𐤅
𐤅𐤉𐤔𐤌𐤇𐤅	exact	plene	𐤅𐤔𐤌𐤇
𐤔𐤌𐤇𐤄	exact	proclitic	𐤔 + 𐤌𐤇𐤄
𐤂𐤃𐤅𐤋𐤄	exact	plene	𐤂𐤃𐤋𐤄
𐤅𐤉𐤁𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤁𐤀𐤅
𐤄𐤁𐤉𐤕𐤄	exact	proclitic	𐤄 + 𐤁𐤉𐤕𐤄
𐤅𐤉𐤌𐤑𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤌𐤑𐤀𐤅
𐤀𐤕𐤄𐤉𐤋𐤃	adjacent	particle	𐤀𐤕 + 𐤄𐤉𐤋𐤃
𐤅𐤉𐤐𐤋𐤅	exact	proclitic	𐤅 + 𐤉𐤐𐤋𐤅
𐤅𐤉𐤐𐤕𐤇𐤅	exact	plene	𐤅𐤐𐤕𐤇
𐤅𐤉𐤒𐤓𐤉𐤁𐤅	exact	proclitic	𐤅 + 𐤉𐤒𐤓𐤉𐤁𐤅
𐤌𐤍𐤇𐤄	exact	proclitic	𐤌 + 𐤍𐤇𐤄
𐤆𐤄𐤁	exact	plene	𐤅𐤆𐤄𐤁
𐤅𐤋𐤁𐤅𐤍𐤄	exact	plene	𐤋𐤁𐤍𐤄
𐤅𐤌𐤓	exact	proclitic	𐤅 + 𐤌𐤓
𐤁𐤇𐤋𐤅𐤌	exact	proclitic	𐤁 + 𐤇𐤋𐤅𐤌
𐤋𐤁𐤋𐤕𐤉	exact	proclitic	𐤋 + 𐤁𐤋𐤕𐤉
𐤅𐤉𐤋𐤊𐤅	exact	proclitic	𐤅 + 𐤉𐤋𐤊𐤅
𐤁𐤃𐤓𐤊	exact	proclitic	𐤁 + 𐤃𐤓𐤊
𐤄𐤋𐤊𐤅	exact	plene	𐤄𐤋𐤅𐤊
𐤌𐤔𐤌	exact	plene	𐤅𐤌𐤔𐤌
𐤅𐤄𐤍𐤄	exact	plene	𐤄𐤍𐤄
𐤌𐤋𐤀𐤊	exact	proclitic	𐤌 + 𐤋 + 𐤀𐤊
𐤍𐤓𐤀𐤄	exact	plene	𐤅𐤍𐤓𐤀𐤄
𐤀𐤋𐤉𐤅𐤎𐤐	plene	adjacent	𐤀𐤋 + 𐤉𐤅𐤎𐤐
𐤁𐤇𐤋𐤅𐤌	exact	proclitic	𐤁 + 𐤇𐤋𐤅𐤌
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤀𐤕𐤄𐤉𐤋𐤃	adjacent	particle	𐤀𐤕 + 𐤄𐤉𐤋𐤃
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤊	exact	plene	𐤅𐤀𐤋𐤉𐤊
𐤑𐤃𐤄	exact	plene	𐤅𐤑𐤅𐤃𐤄
𐤀𐤕𐤄𐤉𐤋𐤃	adjacent	particle	𐤀𐤕 + 𐤄𐤉𐤋𐤃
𐤋𐤀𐤁𐤃𐤅	plene	proclitic	𐤋 + 𐤀𐤁𐤃𐤅
