SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤊𐤄𐤋          H2508     𐤇𐤋𐤒          H3546     𐤊𐤄𐤋          verb
  𐤊𐤄𐤕𐤄        H3409     𐤉𐤓𐤊          H3543     𐤊𐤄𐤄          verb
  𐤊𐤋𐤊𐤋𐤅      H1961     𐤊𐤋𐤊𐤋        H3557     𐤊𐤅𐤋          verb
  𐤊𐤋𐤌𐤅𐤕      H3639     𐤊𐤋𐤌𐤄        H3640     𐤊𐤋𐤌𐤅𐤕      subs
  𐤊𐤐𐤓𐤉        H3713     𐤊𐤐𐤅𐤓        H3722     𐤊𐤐𐤓          subs
  𐤊𐤐𐤕𐤅        H3712     𐤊𐤐𐤄          H3729     𐤊𐤐𐤕          subs
  𐤊𐤓𐤅𐤕        H3068     𐤉𐤄𐤅𐤄        H3772     𐤊𐤓𐤕          verb
  𐤊𐤓𐤕𐤅𐤕      H3773     𐤊𐤓𐤕𐤄        H3772     𐤊𐤓𐤕          subs
  𐤊𐤔𐤋𐤕        H3068     𐤉𐤄𐤅𐤄        H3782     𐤊𐤔𐤋          verb
  𐤋𐤁𐤁𐤅𐤕      H3834     𐤋𐤁𐤉𐤁𐤄      H3824     𐤋𐤁𐤁          subs
  𐤋𐤇𐤑𐤍𐤅      H1692     𐤃𐤁𐤒          H3906     𐤋𐤇𐤑          subs
  𐤋𐤌𐤃𐤉        H3928     𐤋𐤌𐤅𐤃        H3925     𐤋𐤌𐤃          subs
  𐤌𐤀𐤅𐤓𐤕      H3975     𐤌𐤀𐤅𐤓𐤄      H3974     𐤌𐤀𐤅𐤓        subs
  𐤌𐤁𐤑𐤓𐤉𐤅    H1961     𐤌𐤁𐤑𐤓        H4013     𐤌𐤁𐤑𐤓        subs
  𐤌𐤂𐤃𐤐        H3808     𐤂𐤃𐤐          H1442     𐤂𐤃𐤐          verb
  𐤌𐤂𐤍𐤍𐤅      H2377     𐤇𐤆𐤅𐤍        H4043     𐤌𐤂𐤍          subs
  𐤌𐤃𐤓𐤊        H895      𐤁𐤁𐤋          H4096     𐤌𐤃𐤓𐤊        subs
  𐤌𐤅𐤒𐤔𐤉𐤌    H376      𐤌𐤅𐤒𐤔        H4170     𐤌𐤅𐤒𐤔        subs
  𐤌𐤅𐤓𐤉        H3384     𐤉𐤓𐤄          H4753     𐤌𐤓            subs
  𐤌𐤇𐤑𐤕        H4276     𐤌𐤇𐤑𐤉𐤕      H4272     𐤌𐤇𐤑          subs
  𐤌𐤇𐤓𐤔𐤕𐤅    H4281     𐤌𐤇𐤓𐤔𐤄      H4282     𐤌𐤇𐤓𐤔𐤕      subs
  𐤌𐤉𐤔𐤓        H4334     𐤌𐤉𐤔𐤅𐤓      H3474     𐤉𐤔𐤓          subs
  𐤌𐤊𐤔𐤋𐤉𐤌    H1121     𐤌𐤊𐤔𐤋        H3782     𐤊𐤔𐤋          subs
  𐤌𐤋𐤀𐤊𐤅𐤕    H4399     𐤌𐤋𐤀𐤊𐤄      H4400     𐤌𐤋𐤀𐤊𐤅𐤕    subs
  𐤌𐤋𐤋          H5463     𐤎𐤂𐤓          H4448     𐤌𐤋𐤋          verb
  𐤌𐤌𐤋𐤊𐤅𐤕    H4467     𐤌𐤌𐤋𐤊𐤄      H4468     𐤌𐤌𐤋𐤊𐤅𐤕    subs
  𐤌𐤎𐤁𐤉        H5921     𐤌𐤎𐤁          H4524     𐤌𐤎𐤁          subs
  𐤌𐤎𐤐𐤓𐤉𐤌    H3117     𐤉𐤅𐤌          H5608     𐤎𐤐𐤓          verb
  𐤌𐤏𐤅𐤍𐤍𐤉𐤌  H3605     𐤏𐤅𐤍𐤍        H6049     𐤏𐤍𐤍          verb
